Unnamed: 0,SVM,RF,GB,Arquivo,Dataset,Imputer,Métrica
1,0.7204301075268817,0.7096774193548387,0.6236559139784946,hosp1_Mean_spe.csv,1,Mean,Specificity
2,0.7419354838709677,0.7311827956989247,0.6129032258064516,hosp1_Mean_spe.csv,1,Mean,Specificity
3,0.6666666666666666,0.5483870967741935,0.4086021505376344,hosp1_Mean_spe.csv,1,Mean,Specificity
4,0.6559139784946236,0.6774193548387096,0.5161290322580645,hosp1_Mean_spe.csv,1,Mean,Specificity
0,0.7083333333333334,0.7916666666666666,0.75,hosp4_LPMD_spe.csv,4,LPMD,Specificity
1,0.8333333333333334,0.875,0.9166666666666666,hosp4_LPMD_spe.csv,4,LPMD,Specificity
2,0.5,0.5,0.5416666666666666,hosp4_LPMD_spe.csv,4,LPMD,Specificity
3,0.7391304347826086,0.5652173913043478,0.6956521739130435,hosp4_LPMD_spe.csv,4,LPMD,Specificity
4,0.5652173913043478,0.6086956521739131,0.5217391304347826,hosp4_LPMD_spe.csv,4,LPMD,Specificity
0,0.7900763358778626,0.7989821882951654,0.7913486005089059,hosp2_SAEI_spe.csv,2,SAEI,Specificity
1,0.7885350318471338,0.7579617834394905,0.7630573248407644,hosp2_SAEI_spe.csv,2,SAEI,Specificity
2,0.7452229299363057,0.7312101910828025,0.7503184713375797,hosp2_SAEI_spe.csv,2,SAEI,Specificity
3,0.7847133757961784,0.7668789808917198,0.7770700636942676,hosp2_SAEI_spe.csv,2,SAEI,Specificity
4,0.7426751592356687,0.759235668789809,0.7286624203821656,hosp2_SAEI_spe.csv,2,SAEI,Specificity
0,0.7441363494214532,0.7999583029292192,0.7877619097258417,hosp3_LPMD_auc.csv,3,LPMD,AUC
1,0.7219847805691652,0.7443448347753572,0.7113520275200665,hosp3_LPMD_auc.csv,3,LPMD,AUC
2,0.7158116285188107,0.71965272296764,0.7416995527492765,hosp3_LPMD_auc.csv,3,LPMD,AUC
3,0.7377358490566037,0.7460167714884696,0.7079140461215933,hosp3_LPMD_auc.csv,3,LPMD,AUC
4,0.7664832285115305,0.7612683438155137,0.760901467505241,hosp3_LPMD_auc.csv,3,LPMD,AUC
0,0.7836879432624113,0.7960992907801417,0.7446808510638298,hosp1_Mean_auc.csv,1,Mean,AUC
1,0.685099846390169,0.6036866359447004,0.5092165898617511,hosp1_Mean_auc.csv,1,Mean,AUC
2,0.7311827956989247,0.7619047619047619,0.8970814132104454,hosp1_Mean_auc.csv,1,Mean,AUC
3,0.7327188940092166,0.7726574500768049,0.5921658986175116,hosp1_Mean_auc.csv,1,Mean,AUC
4,0.6577060931899642,0.7401433691756272,0.7894265232974911,hosp1_Mean_auc.csv,1,Mean,AUC
